Date,Open,High,Low,Close,Adj. Close,Change,Volume,Company
"Mar 16, 2026",832.8,848.0,827.0,832.8,832.8,-1.14%,5762,BATASHOE
"Mar 15, 2026",832.0,844.0,832.0,842.4,842.4,0.10%,588,BATASHOE
"Mar 12, 2026",841.6,843.0,840.0,841.6,841.6,0.66%,11,BATASHOE
"Mar 11, 2026",836.1,850.0,830.5,836.1,836.1,-0.35%,1055,BATASHOE
"Mar 10, 2026",839.0,839.9,827.0,839.0,839.0,1.82%,322,BATASHOE
"Mar 9, 2026",883.0,883.0,817.2,824.0,824.0,-0.45%,20,BATASHOE
"Mar 8, 2026",803.0,842.0,803.0,827.7,827.7,0.57%,248,BATASHOE
"Mar 5, 2026",823.0,826.1,820.0,823.0,823.0,-0.45%,143,BATASHOE
"Mar 4, 2026",826.7,843.9,815.0,826.7,826.7,-0.49%,301,BATASHOE
"Mar 3, 2026",830.8,847.8,825.0,830.8,830.8,-2.21%,1368,BATASHOE
"Mar 2, 2026",849.6,852.5,840.0,849.6,849.6,1.09%,636,BATASHOE
"Mar 1, 2026",812.0,849.0,812.0,840.4,840.4,-1.25%,337,BATASHOE
"Feb 26, 2026",844.0,855.0,827.0,851.0,851.0,1.75%,1481,BATASHOE
"Feb 25, 2026",842.7,842.7,835.0,836.4,836.4,-0.18%,37,BATASHOE
"Feb 24, 2026",836.0,844.8,836.0,837.9,837.9,0.23%,238,BATASHOE
"Feb 23, 2026",836.0,849.9,825.0,836.0,836.0,-0.89%,219,BATASHOE
"Feb 22, 2026",845.0,845.0,842.8,843.5,843.5,0.79%,133,BATASHOE
"Feb 19, 2026",836.9,845.0,830.0,836.9,836.9,-0.49%,108,BATASHOE
"Feb 18, 2026",841.0,847.9,840.0,841.0,841.0,0.01%,1302,BATASHOE
"Feb 17, 2026",800.5,860.0,800.5,840.9,840.9,-0.46%,281,BATASHOE
"Feb 16, 2026",825.5,845.0,825.5,844.8,844.8,-0.27%,281,BATASHOE
"Feb 15, 2026",833.0,848.0,833.0,847.1,847.1,2.15%,562,BATASHOE
"Feb 10, 2026",825.8,830.1,825.0,829.3,829.3,0.41%,578,BATASHOE
"Feb 9, 2026",825.9,826.7,823.0,825.9,825.9,0.18%,515,BATASHOE
"Feb 8, 2026",810.0,825.0,810.0,824.4,824.4,0.02%,102,BATASHOE
"Feb 5, 2026",824.2,825.0,820.0,824.2,824.2,1.27%,1858,BATASHOE
"Feb 3, 2026",821.0,821.0,811.0,813.9,813.9,-0.68%,271,BATASHOE
